X,Y,theta,radius
650,480,0,10
650,480,1,10
650,480,2,10
650,481,3,10
650,481,4,10
650,481,5,10
650,481,6,10
650,481,7,10
650,481,8,10
650,482,9,10
650,482,10,10
650,482,11,10
650,482,12,10
650,482,13,10
650,482,14,10
650,483,15,10
650,483,16,10
650,483,17,10
650,483,18,10
649,483,19,10
649,483,20,10
649,484,21,10
649,484,22,10
649,484,23,10
649,484,24,10
649,484,25,10
649,484,26,10
649,485,27,10
649,485,28,10
649,485,29,10
649,485,30,10
649,485,31,10
648,485,32,10
648,485,33,10
648,486,34,10
648,486,35,10
648,486,36,10
648,486,37,10
648,486,38,10
648,486,39,10
648,486,40,10
648,487,41,10
647,487,42,10
647,487,43,10
647,487,44,10
647,487,45,10
647,487,46,10
647,487,47,10
647,487,48,10
647,488,49,10
646,488,50,10
646,488,51,10
646,488,52,10
646,488,53,10
646,488,54,10
646,488,55,10
646,488,56,10
645,488,57,10
645,488,58,10
645,489,59,10
645,489,60,10
645,489,61,10
645,489,62,10
645,489,63,10
644,489,64,10
644,489,65,10
644,489,66,10
644,489,67,10
644,489,68,10
644,489,69,10
643,489,70,10
643,489,71,10
643,490,72,10
643,490,73,10
643,490,74,10
643,490,75,10
642,490,76,10
642,490,77,10
642,490,78,10
642,490,79,10
642,490,80,10
642,490,81,10
641,490,82,10
641,490,83,10
641,490,84,10
641,490,85,10
641,490,86,10
641,490,87,10
640,490,88,10
640,490,89,10
640,490,90,10
640,490,91,10
640,490,92,10
639,490,93,10
639,490,94,10
639,490,95,10
639,490,96,10
639,490,97,10
639,490,98,10
638,490,99,10
638,490,100,10
638,490,101,10
638,490,102,10
638,490,103,10
638,490,104,10
637,490,105,10
637,490,106,10
637,490,107,10
637,490,108,10
637,489,109,10
637,489,110,10
636,489,111,10
636,489,112,10
636,489,113,10
636,489,114,10
636,489,115,10
636,489,116,10
635,489,117,10
635,489,118,10
635,489,119,10
635,489,120,10
635,489,121,10
635,488,122,10
635,488,123,10
634,488,124,10
634,488,125,10
634,488,126,10
634,488,127,10
634,488,128,10
634,488,129,10
634,488,130,10
633,488,131,10
633,487,132,10
633,487,133,10
633,487,134,10
633,487,135,10
633,487,136,10
633,487,137,10
633,487,138,10
632,487,139,10
632,486,140,10
632,486,141,10
632,486,142,10
632,486,143,10
632,486,144,10
632,486,145,10
632,486,146,10
632,485,147,10
632,485,148,10
631,485,149,10
631,485,150,10
631,485,151,10
631,485,152,10
631,485,153,10
631,484,154,10
631,484,155,10
631,484,156,10
631,484,157,10
631,484,158,10
631,484,159,10
631,483,160,10
631,483,161,10
630,483,162,10
630,483,163,10
630,483,164,10
630,483,165,10
630,482,166,10
630,482,167,10
630,482,168,10
630,482,169,10
630,482,170,10
630,482,171,10
630,481,172,10
630,481,173,10
630,481,174,10
630,481,175,10
630,481,176,10
630,481,177,10
630,480,178,10
630,480,179,10
630,480,180,10
630,480,181,10
630,480,182,10
630,479,183,10
630,479,184,10
630,479,185,10
630,479,186,10
630,479,187,10
630,479,188,10
630,478,189,10
630,478,190,10
630,478,191,10
630,478,192,10
630,478,193,10
630,478,194,10
630,477,195,10
630,477,196,10
630,477,197,10
630,477,198,10
631,477,199,10
631,477,200,10
631,476,201,10
631,476,202,10
631,476,203,10
631,476,204,10
631,476,205,10
631,476,206,10
631,475,207,10
631,475,208,10
631,475,209,10
631,475,210,10
631,475,211,10
632,475,212,10
632,475,213,10
632,474,214,10
632,474,215,10
632,474,216,10
632,474,217,10
632,474,218,10
632,474,219,10
632,474,220,10
632,473,221,10
633,473,222,10
633,473,223,10
633,473,224,10
633,473,225,10
633,473,226,10
633,473,227,10
633,473,228,10
633,472,229,10
634,472,230,10
634,472,231,10
634,472,232,10
634,472,233,10
634,472,234,10
634,472,235,10
634,472,236,10
635,472,237,10
635,472,238,10
635,471,239,10
635,471,240,10
635,471,241,10
635,471,242,10
635,471,243,10
636,471,244,10
636,471,245,10
636,471,246,10
636,471,247,10
636,471,248,10
636,471,249,10
637,471,250,10
637,471,251,10
637,470,252,10
637,470,253,10
637,470,254,10
637,470,255,10
638,470,256,10
638,470,257,10
638,470,258,10
638,470,259,10
638,470,260,10
638,470,261,10
639,470,262,10
639,470,263,10
639,470,264,10
639,470,265,10
639,470,266,10
639,470,267,10
640,470,268,10
640,470,269,10
640,470,270,10
640,470,271,10
640,470,272,10
641,470,273,10
641,470,274,10
641,470,275,10
641,470,276,10
641,470,277,10
641,470,278,10
642,470,279,10
642,470,280,10
642,470,281,10
642,470,282,10
642,470,283,10
642,470,284,10
643,470,285,10
643,470,286,10
643,470,287,10
643,470,288,10
643,471,289,10
643,471,290,10
644,471,291,10
644,471,292,10
644,471,293,10
644,471,294,10
644,471,295,10
644,471,296,10
645,471,297,10
645,471,298,10
645,471,299,10
645,471,300,10
645,471,301,10
645,472,302,10
645,472,303,10
646,472,304,10
646,472,305,10
646,472,306,10
646,472,307,10
646,472,308,10
646,472,309,10
646,472,310,10
647,472,311,10
647,473,312,10
647,473,313,10
647,473,314,10
647,473,315,10
647,473,316,10
647,473,317,10
647,473,318,10
648,473,319,10
648,474,320,10
648,474,321,10
648,474,322,10
648,474,323,10
648,474,324,10
648,474,325,10
648,474,326,10
648,475,327,10
648,475,328,10
649,475,329,10
649,475,330,10
649,475,331,10
649,475,332,10
649,475,333,10
649,476,334,10
649,476,335,10
649,476,336,10
649,476,337,10
649,476,338,10
649,476,339,10
649,477,340,10
649,477,341,10
650,477,342,10
650,477,343,10
650,477,344,10
650,477,345,10
650,478,346,10
650,478,347,10
650,478,348,10
650,478,349,10
650,478,350,10
650,478,351,10
650,479,352,10
650,479,353,10
650,479,354,10
650,479,355,10
650,479,356,10
650,479,357,10
650,480,358,10
650,480,359,10
650,480,360,10
